x_value,y_value
(13.12.19) 20:51,7252.69
(13.12.19) 20:52,7252.88
(13.12.19) 20:53,7252.95
(13.12.19) 20:55,7252.8
(13.12.19) 20:56,7252.65
(13.12.19) 20:57,7254.42
(13.12.19) 20:58,7253.11
(13.12.19) 20:59,7253.35
(13.12.19) 21:00,7253.79
(13.12.19) 21:01,7253.55
(13.12.19) 21:02,7254.96
(13.12.19) 21:03,7255.24
(13.12.19) 21:04,7256.44
(13.12.19) 21:05,7258.4
(13.12.19) 21:06,7259.11
(13.12.19) 21:07,7263.75
(13.12.19) 21:08,7261.71
(13.12.19) 21:09,7259.72
(13.12.19) 21:10,7256.96
(13.12.19) 21:11,7258.17
(13.12.19) 21:12,7257.62
(13.12.19) 21:13,7257.75
(13.12.19) 21:14,7258.1
(13.12.19) 21:15,7258.04
(13.12.19) 21:16,7257.29
(13.12.19) 21:17,7256.81
(13.12.19) 21:18,7258.62
(13.12.19) 21:19,7260.09
(13.12.19) 21:20,7258.81
(13.12.19) 21:21,7254.87
(13.12.19) 21:22,7254.61
(13.12.19) 21:23,7253.05
(13.12.19) 21:24,7249.14
(13.12.19) 21:25,7248.79
(13.12.19) 21:26,7251.6
(13.12.19) 21:27,7251.51
(13.12.19) 21:28,7251.7
(13.12.19) 21:29,7251.42
(13.12.19) 21:30,7251.46
(13.12.19) 21:31,7252.19
(13.12.19) 21:32,7251.68
(13.12.19) 21:33,7251.68
(13.12.19) 21:34,7251.89
(13.12.19) 21:35,7251.89
(13.12.19) 21:36,7252.04
(13.12.19) 21:37,7252.01
(13.12.19) 21:38,7251.59
(13.12.19) 21:39,7252.21
(13.12.19) 21:40,7254.74
(13.12.19) 21:41,7257.74
(13.12.19) 21:42,7258.53
(13.12.19) 21:43,7257.88
(13.12.19) 21:44,7258.51
(13.12.19) 21:45,7259.09
(13.12.19) 21:46,7259.67
(13.12.19) 21:47,7258.85
(13.12.19) 21:48,7258.47
(13.12.19) 21:49,7258.47
(13.12.19) 21:50,7258.43
(13.12.19) 21:51,7258.38
(13.12.19) 21:52,7258.18
(13.12.19) 21:53,7256.74
(13.12.19) 21:54,7256.41
(13.12.19) 21:55,7256.91
(13.12.19) 21:56,7256.56
(13.12.19) 21:57,7256.72
(13.12.19) 21:58,7257.22
(13.12.19) 21:59,7256.63
(13.12.19) 22:00,7255.97
(13.12.19) 22:01,7253.99
(13.12.19) 22:02,7251.09
(13.12.19) 22:03,7250.51
(13.12.19) 22:04,7248.16
(13.12.19) 22:05,7248.46
(13.12.19) 22:06,7244.86
(13.12.19) 22:07,7247.65
(13.12.19) 22:08,7246.66
(13.12.19) 22:09,7244.72
(13.12.19) 22:10,7244.48
(13.12.19) 22:11,7245.03
(13.12.19) 22:12,7245.53
(13.12.19) 22:13,7244.27
(13.12.19) 22:14,7246.47
(13.12.19) 22:15,7247.52
(13.12.19) 22:16,7246.79
(13.12.19) 22:17,7247.32
(13.12.19) 22:18,7246.96
(13.12.19) 22:19,7245.78
(13.12.19) 22:20,7245.54
(13.12.19) 22:21,7245.44
(13.12.19) 22:22,7245.94
(13.12.19) 22:34,7242.06
(13.12.19) 22:35,7241.21
(13.12.19) 22:36,7241.54
(13.12.19) 22:38,7241.5
(13.12.19) 22:39,7240.63
(13.12.19) 22:40,7240.62
(13.12.19) 22:41,7239.41
(13.12.19) 22:42,7239.21
(13.12.19) 22:43,7239.82
(13.12.19) 22:44,7239.65
(13.12.19) 22:45,7239.56
(13.12.19) 22:46,7239.58
(13.12.19) 22:47,7240.84
(13.12.19) 22:48,7242.1
(13.12.19) 22:49,7242.03
(13.12.19) 22:50,7240.44
(13.12.19) 22:51,7240.36
(13.12.19) 22:52,7241.24
(13.12.19) 22:53,7241.38
(13.12.19) 22:54,7241.85
(13.12.19) 22:55,7242.13
(13.12.19) 22:56,7242.19
(13.12.19) 22:57,7240.14
(13.12.19) 22:58,7240.0
(13.12.19) 22:59,7239.58
(13.12.19) 23:00,7238.9
(13.12.19) 23:01,7239.3
(13.12.19) 23:02,7239.29
(13.12.19) 23:03,7239.41
(13.12.19) 23:04,7239.2
(13.12.19) 23:05,7238.18
(13.12.19) 23:06,7237.55
(13.12.19) 23:07,7237.6
(13.12.19) 23:08,7237.68
(13.12.19) 23:09,7238.56
(13.12.19) 23:10,7238.63
(13.12.19) 23:11,7238.95
(13.12.19) 23:12,7240.12
(13.12.19) 23:13,7239.26
(13.12.19) 23:14,7239.24
(13.12.19) 23:15,7239.39
(13.12.19) 23:16,7241.19
